url,title,mood_tags,character,stack,host,static_or_dynamic,why_note,nsfw,source
https://1mb.club,"The 1MB Club",think;beautiful,minimal_static,,,,"A directory of sites weighing under 1MB — a quiet manifesto that fast is a feature, not a compromise.",false,"512kb.club ecosystem"
https://512kb.club,"The 512KB Club",think,minimal_static,jekyll,,static,"The stricter sibling: personal sites under 512KB, badge-of-honour for the performance-obsessed.",false,"awesome minimal web"
https://250kb.club,"The 250KB Club",think,minimal_static,,,,"An even leaner club — proof that a whole website can be smaller than one stock photo.",false,"512kb.club ecosystem"
https://brutalist-web.design,"Brutalist Web Design",learn;beautiful,minimal_static,static_html,aws_s3,static,"A guidelines site that argues raw, content-first HTML is its own aesthetic — and demonstrates it.",false,"brutalist web movement"
https://motherfuckingwebsite.com,"Motherfucking Website",think,minimal_static,,,,"The original polemic: one unstyled page proving how little you actually need to publish.",false,"minimalism classics"
https://bettermotherfuckingwebsite.com,"Better Motherfucking Website",think;learn,minimal_static,,,,"The tongue-in-cheek rebuttal that adds seven lines of CSS and calls it a day.",false,"minimalism classics"
https://thebestmotherfucking.website,"The Best Motherfucking Website",think,minimal_static,static_html,github_pages,static,"The escalation of the joke — a readable minimalist page that critiques the critique.",false,"minimalism classics"
https://justinjackson.ca,"This Is a Web Page",think,minimal_static,,,,"Justin Jackson's viral single page on what the web is actually for — words, and that's enough.",false,"HN Show HN"
https://sive.rs,"Derek Sivers",think;learn,minimal_static,,,,"Blazing-fast personal site of a serial founder; every essay is short, contrarian, and load-instantly.",false,"personal sites"
https://danluu.com,"Dan Luu",learn;think,minimal_static,,,static,"Unstyled plain-text engineering essays with unusually rigorous data — substance over polish.",false,"HN favourites"
https://jvns.ca,"Julia Evans",learn,minimal_static,hugo,netlify,static,"Approachable deep-dives on Linux, networking and debugging, famous for hand-drawn zines.",false,"personal sites"
https://gwern.net,"Gwern.net",learn;think,minimal_static,,,static,"An obsessively cross-linked research garden on everything from statistics to darknet markets.",false,"digital gardens"
https://paulgraham.com,"Paul Graham Essays",think;learn,minimal_static,,,,"The archetypal essay site — no nav, no images, just decades of startup and life thinking.",false,"minimalism classics"
https://text.npr.org,"NPR Text-Only",useful,minimal_static,,,,"NPR's news stripped to headlines and text — the fastest serious news site on the web.",false,"minimal web lists"
https://legiblenews.com,"Legible News",useful,minimal_static,static_html,fly,,"A calm daily news digest with no ads, no tracking, and a deliberately boring layout.",false,"HN Show HN"
https://plaintextsports.com,"Plain Text Sports",useful,minimal_static,static_html,aws_s3,static,"Live scores in monospace text that loads in milliseconds — sports for people who hate sports sites.",false,"HN Show HN"
https://neustadt.fr,"Neustadt.fr",beautiful;think,minimal_static,,,,"Tobias van Schneider-adjacent restraint: a personal site that feels like a well-made notebook.",false,"personal sites"
https://100r.co,"Hundred Rabbits",think;learn,minimal_static,static_html,github_pages,static,"A collective living on a sailboat building resilient, low-power software; radical self-sufficiency online.",false,"indie tech"
https://wiki.xxiivv.com,"XXIIVV Wiki",learn;beautiful,minimal_static,static_html,github_pages,static,"Devine Lu Linvega's hand-crafted knowledge wiki — a lifetime of tools, art and notes in one lattice.",false,"digital gardens"
https://www.gutenberg.org,"Project Gutenberg",useful;learn,minimal_static,,,,"70,000+ free public-domain books, the internet's oldest and plainest library.",false,"reference classics"
https://plaintextaccounting.org,"Plain Text Accounting",useful;learn,minimal_static,,,,"A hub for tracking money in plain text files — the anti-app approach to personal finance.",false,"HN favourites"
https://drewdevault.com,"Drew DeVault's Blog",think;learn,minimal_static,,,,"Opinionated, uncompromising writing on free software from the creator of SourceHut.",false,"personal sites"
https://fabiensanglard.net,"Fabien Sanglard",learn,minimal_static,,,,"Beautifully detailed teardowns of game engines and old hardware, in spartan HTML.",false,"HN favourites"
https://www.nayuki.io,"Project Nayuki",learn;useful,minimal_static,,,,"Clean mathematical and programming articles, each with runnable code and no filler.",false,"HN favourites"
https://stephango.com,"Steph Ango",think;beautiful,minimal_static,static_html,netlify,static,"The Obsidian CEO's personal site — a tidy, principled collection of life notes and file-over-app philosophy.",false,"personal sites"
https://bearblog.dev,"Bear Blog",useful;think,minimal_static,,,,"A blogging platform that ships pages under 50KB with zero JavaScript by default.",false,"indie platforms"
https://midnight.pub,"The Midnight Pub",waste_time;think,minimal_static,,,,"A cozy fictional tavern where strangers leave text posts — social media as a quiet late-night bar.",false,"small web"
https://sourcehut.org,"SourceHut",useful,minimal_static,hugo,,static,"A software forge that works entirely without JavaScript — email-driven, fast, principled.",false,"indie tech"
https://acoup.blog,"A Collection of Unmitigated Pedantry",learn;think,minimal_static,,,,"A historian's wildly readable long essays on how ancient warfare and society actually worked.",false,"blog roll"
https://www.filfre.net,"The Digital Antiquarian",learn;think,minimal_static,wordpress,,,"Book-length history of computer games, treated with the seriousness of literary criticism.",false,"blog roll"
https://longnow.org,"The Long Now Foundation",think;learn,minimal_static,astro,netlify,static,"An institution devoted to 10,000-year thinking — the 'Clock of the Long Now' and slow essays.",false,"think web"
https://ciechanow.ski,"Bartosz Ciechanowski",learn;beautiful,modern_indie,,,,"Jaw-dropping interactive explainers on gears, GPS and light — each one a small masterpiece.",false,"HN favourites"
https://waitbutwhy.com,"Wait But Why",learn;think,modern_indie,,,,"Stick-figure long-reads that make AI, space and procrastination genuinely gripping.",false,"blog roll"
https://neal.fun,"Neal.fun",waste_time;learn,modern_indie,nuxt,,static,"A playground of interactive toys — 'The Deep Sea', 'Spend Bill Gates' Money', 'Absurd Trolley Problems'.",false,"HN Show HN"
https://www.mathigon.org,"Mathigon",learn;beautiful,modern_indie,,,,"A 'textbook of the future' — interactive, courseware-quality maths you can actually play with.",false,"education web"
https://pudding.cool,"The Pudding",learn;beautiful,modern_indie,sveltekit,aws_s3,static,"Visual essays that explain culture with data — scrollytelling done at the highest level.",false,"dataviz web"
https://www.redblobgames.com,"Red Blob Games",learn;beautiful,modern_indie,,,,"Interactive tutorials on game algorithms (pathfinding, hex grids) that set the standard for the genre.",false,"HN favourites"
https://ncase.me,"Nicky Case",learn;waste_time,modern_indie,static_html,github_pages,static,"Playable explanations of trust, systems and mental health — games that teach you something true.",false,"interactive essays"
https://explorabl.es,"Explorable Explanations",learn;think,modern_indie,static_html,github_pages,static,"A hub collecting interactive, learn-by-playing essays across science and society.",false,"interactive essays"
https://distill.pub,"Distill",learn;beautiful,modern_indie,,,,"The archived journal that reinvented how machine-learning research is explained visually.",false,"ML web"
https://www.visualcinnamon.com,"Visual Cinnamon",beautiful;learn,modern_indie,static_html,netlify,static,"Nadieh Bremer's dazzling, hand-crafted data-art visualisations and how she makes them.",false,"dataviz web"
https://tympanus.net,"Codrops",beautiful;learn,modern_indie,wordpress,,,"Bleeding-edge web animation and layout experiments that front-end developers mine for ideas.",false,"design web"
https://www.awwwards.com,"Awwwards",beautiful,modern_indie,,,static,"The daily awards site that curates the most ambitious web design on the internet.",false,"Awwwards"
https://www.siteinspire.com,"SiteInspire",beautiful,modern_indie,,,,"A tightly-curated gallery of clean, high-craft website design for inspiration.",false,"SiteInspire"
https://www.thisismold.com,"MOLD",beautiful;think,modern_indie,wordpress,,,"A magazine about designing the future of food — gorgeous, weird, and genuinely thoughtful.",false,"design web"
https://aeon.co,"Aeon",think;learn,modern_indie,nextjs,vercel,static,"Ad-light long essays on philosophy, science and the human condition from serious writers.",false,"think web"
https://www.themarginalian.org,"The Marginalian",think;learn,modern_indie,wordpress,,,"Maria Popova's decade-plus of reflections on art, science and meaning — deeply cross-referenced.",false,"blog roll"
https://kk.org,"Kevin Kelly",think;learn,modern_indie,wordpress,,,"The founding WIRED editor's essays and famous '68 Bits of Advice' — optimistic futurism.",false,"think web"
